minx    miny    maxx    maxy    
0    256    2    543    
0    624    2    728    
0    727    2    802    
1    835    370    839    
2    623    82    723    
2    744    125    837    
2    803    10    836    
57    202    148    272    
102    771    166    836    
156    204    178    262    
209    657    229    681    
277    592    289    619    
324    795    336    816    
328    560    348    613    
340    804    352    822    
350    710    524    803    
359    682    374    708    
379    556    395    583    
418    664    436    689    
419    392    721    718    
480    758    496    775    
494    802    553    838    
518    817    540    835    
568    367    593    378    
603    403    617    418    
606    329    629    343    
633    531    653    559    
645    382    672    399    
656    517    672    533    
678    423    691    446    
699    384    739    409    
705    475    725    492    
706    571    728    609    
727    582    741    608    
751    387    785    423    
752    351    777    361    
772    706    786    733    
774    370    803    398    
777    488    797    530    
803    687    830    719    
812    486    835    514    
817    731    843    781    
818    371    846    394    
826    543    842    575    
834    472    862    504    
840    590    851    615    
861    690    882    711    
865    401    928    578    
870    633    900    695    
922    524    984    649    
946    831    986    837    
950    187    1024    192    
