minx    miny    width    height    
311    0    6    89    
596    0    79    2    
592    0    246    389    
725    0    112    3    
227    1    77    68    
567    1    17    20    
556    5    14    17    
454    49    18    34    
229    65    70    33    
493    109    28    35    
297    192    9    27    
791    230    20    34    
530    263    23    36    
812    266    19    29    
500    287    29    18    
694    305    16    15    
677    359    80    43    
433    376    49    38    
464    465    56    44    
420    499    20    27    
475    549    36    64    
554    595    20    21    
588    598    21    23    
564    619    47    43    
463    633    41    40    
447    650    14    21    
794    668    34    22    
463    683    19    15    
774    685    20    14    
572    687    27    18    
525    693    25    20    
671    706    31    13    
319    710    16    20    
480    720    26    16    
568    742    23    12    
540    770    20    12    
611    782    28    15    
554    786    23    21    
542    834    41    16    
690    851    13    19    
